10323;A Stranger in Town;1943;3270;NULL;NULL
10324;A Streetcar Named Desire;1951;1924;1800000;NULL
10325;A Study in Scarlet;1914;3289;NULL;NULL
10326;A Study in Scarlet;1933;1579;NULL;NULL
10327;A Sunday in the Country;1984;3299;NULL;NULL
10328;En kÃ¤rlekshistoria;1970;3314;NULL;NULL
10329;A Symposium on Popular Songs;1962;3320;NULL;NULL
10330;A Tale of Five Cities;1951;3325;NULL;NULL
10331;A Tale of Two Cities;1911;3350;NULL;NULL
10332;A Tale of Two Cities;1935;3369;1232000;NULL
10333;A Tale of Two Cities;1958;3393;NULL;NULL
10334;A Taste of Honey;1961;3405;NULL;NULL
10335;A Thin Line Between Love and Hate;1996;3413;8000000;NULL
10336;A Thousand Clouds of Peace;2004;3428;NULL;NULL
10337;A Thousand Clowns;1965;3443;NULL;NULL
10338;Prapancha Pash (A Throw of Dice);1929;3445;NULL;NULL
10339;A Time to Kill;1996;1320;40000000;152266007
10340;A Time to Love and a Time to Die;1958;3458;NULL;NULL
10341;A Touch of Class;1973;3478;NULL;NULL
10342;A Trap for Santa Claus;1909;3486;NULL;NULL
10343;A Trip to Chinatown;1926;3493;NULL;NULL
10344;A Troll in Central Park;1994;3500;23500000;71368
10345;A Very Brady Sequel;1996;3508;16500000;NULL
10346;A Very Harold & Kumar 3D Christmas;2011;3517;19000000;NULL
10347;A Very Private Affair (Vie PrivÃ©e);1962;3533;NULL;NULL
10348;A Very Special Favor;1965;3546;NULL;NULL
10349;A View to a Kill;1985;3555;30000000;152400000
10350;A Walk in the Clouds;1995;3574;20000000;NULL
10351;A Walk in the Spring Rain;1970;2854;NULL;NULL
10352;A Walk in the Sun;1945;3582;NULL;NULL
10353;A Walk on the Moon;1999;3584;NULL;NULL
10354;A Walk to Remember;2002;3587;11800000;47494916
10355;A Wedding;1978;954;NULL;NULL
10356;A Womans Decision;1977;3610;NULL;NULL
10357;A Womans Face;1941;1443;NULL;NULL
10358;A Womans Face;1939;3657;NULL;NULL
10359;A Woman of Affairs;1928;2035;NULL;NULL
10360;A Woman of Paris ;1923;1788;NULL;NULL
10361;A Woman of the Sea;1926;3693;NULL;NULL
10362;A Woman of the World;1925;3698;NULL;NULL
10363;A Woman Under the Influence;1974;1531;NULL;NULL
10364;Una mujer sin amor;1952;3712;NULL;NULL
10365;A Yank in the RAF;1941;1416;NULL;NULL
10366;Aadmi;1968;3717;NULL;NULL
